,Facility Name,City,Country,IATA_Code,ICAO_Code,Lat,Lng,Alt(Feet),Hours__from UTC,TimeZone,Type
0,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689835,145.3919983,5282,10,Pacific/Port_Moresby,airport
1,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.207079887,145.78900149999998,20,10,Pacific/Port_Moresby,airport
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789856,144.2960052,5388,10,Pacific/Port_Moresby,airport
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,Pacific/Port_Moresby,airport
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380356,147.22000119999998,146,10,Pacific/Port_Moresby,airport
5,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301180000003,143.6690063,19,10,Pacific/Port_Moresby,airport
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.16049957,-45.42599869,112,-3,America/Godthab,airport
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.67810059,283,-3,America/Godthab,airport
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122219,-50.71160316,165,-3,America/Godthab,airport
9,Thule Air Base,Thule,Greenland,THU,BGTL,76.53119659,-68.70320129,251,-4,America/Thule,airport
10,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366,-18.0727005,6,0,Atlantic/Reykjavik,airport
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.28330231,-14.40139961,76,0,Atlantic/Reykjavik,airport
12,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,Atlantic/Reykjavik,airport
13,Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,Atlantic/Reykjavik,airport
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.05809784,-23.13529968,8,0,Atlantic/Reykjavik,airport
15,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.98500061,-22.60560036,171,0,Atlantic/Reykjavik,airport
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,Atlantic/Reykjavik,airport
17,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.12999725,-21.94059944,48,0,Atlantic/Reykjavik,airport
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,Atlantic/Reykjavik,airport
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.42430115,-20.27890015,326,0,Atlantic/Reykjavik,airport
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.48500061,-84.50939941,630,-5,America/Toronto,airport
21,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564003,-97.03250122,760,-6,America/Winnipeg,airport
22,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.63970184,-63.49940109,144,-4,America/Halifax,airport
23,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.39189911,-56.08309937,108,-3.5,America/St_Johns,airport
24,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.77558300000001,80,-8,America/Vancouver,airport
25,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,America/Edmonton,airport
26,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.13249969,-68.20439911,71,-5,America/Toronto,airport
27,CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.33060074,-70.99639893,522,-5,America/Toronto,airport
28,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.29889679,-96.07779694,59,-6,America/Winnipeg,airport
29,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.95080185,-125.2710037,346,-8,America/Vancouver,airport
30,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,America/Winnipeg,airport
31,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.10810089,-105.13800049999999,90,-7,America/Edmonton,airport
32,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.05497022,-123.86986259999999,92,-8,America/Vancouver,airport
